Team,Seed,Region,R64,R32,S16,E8,F4,Champ,Champ_Prob,EV_Pct,Bonus_EV,Total_EV_Pct,EV_Dollars,Est_Price,Value_Ratio,Surplus
Texas Tech,5,Midwest,0.819,0.3572342342342343,0.15843243243243244,0.06002252252252252,0.02311486486486487,0.009009009009009009,0.009009009009009009,0.017732438063063065,0.0,0.017732438063063065,115.26084740990993,115.26084740990993,1.0,0.0
Tennessee,6,Midwest,0.6273461538461539,0.35545054945054944,0.15595604395604395,0.06226190476190477,0.028104395604395604,0.01098901098901099,0.01098901098901099,0.017124706959706963,0.00018714725274725276,0.017311854212454215,112.5270523809524,112.5270523809524,1.0,0.0
Louisville,6,East,0.81,0.3431900826446281,0.1450578512396694,0.05488292011019284,0.022995867768595038,0.008264462809917356,0.008264462809917356,0.01681306473829201,0.00017406942148760329,0.016987134159779614,110.41637203856749,110.41637203856749,1.0,0.0
North Carolina,6,South,0.615,0.34654054054054056,0.14803603603603604,0.0568993993993994,0.024391891891891893,0.009009009009009009,0.009009009009009009,0.0161728003003003,0.00017764324324324326,0.016350443543543543,106.27788303303302,127.53345963963962,0.8333333333333334,-21.255576606606596
BYU,6,West,0.6185381679389313,0.34035114503816793,0.14253435114503815,0.053174300254452925,0.02181297709923664,0.007633587786259541,0.007633587786259542,0.01557212468193384,0.00017104122137404578,0.015743165903307887,102.33057837150126,102.33057837150126,1.0,0.0
Kentucky,7,Midwest,0.722,0.29740594059405945,0.1292977369165488,0.05432461103253182,0.023594766619519092,0.009900990099009901,0.009900990099009901,0.015433267326732676,0.00015515728429985856,0.015588424611032535,101.32475997171149,109.4307407694484,0.9259259259259259,-8.105980797736919
UCLA,7,East,0.722,0.28380152671755726,0.1181226826608506,0.04703653217011996,0.019221919302071972,0.007633587786259542,0.007633587786259542,0.014248549618320613,0.0001417472191930207,0.014390296837513633,93.53692944383862,92.60156014940024,1.01010101010101,0.9353692944383738
Miami FL,7,West,0.551,0.26190438247011955,0.10013574274331247,0.03530591918042117,0.012183551508252703,0.00398406374501992,0.00398406374501992,0.01148667330677291,0.00012016289129197496,0.011606836198064885,75.44443528742175,67.89999175867958,1.1111111111111112,7.544443528742178
Saint Mary's,7,South,0.532,0.26190438247011955,0.10013574274331247,0.03530591918042117,0.012183551508252703,0.00398406374501992,0.00398406374501992,0.011391673306772909,0.00012016289129197496,0.011511836198064883,74.82693528742175,67.34424175867957,1.1111111111111112,7.482693528742175
Texas A&M,10,South,0.468,0.1977761194029851,0.08382587064676617,0.033229684908789386,0.011950248756218905,0.004975124378109453,0.004975124378109453,0.009736656301824213,0.0015688768656716419,0.011305533167495855,73.48596558872306,58.78877247097845,1.25,14.697193117744611
